,YEAR,MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,DEST,DEST_STATE_ABR,CRS_DEP_TIME,CRS_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,ARR_DELAY
37289,2005,2,1,CO,EWR,NJ,1418,203.0,1400.0,0.0,0.0,28.0,0.0,0.0,28.0
37290,2005,2,1,CO,SFO,CA,1755,255.0,1635.0,49.0,0.0,0.0,0.0,0.0,49.0
37291,2005,2,3,CO,MSY,LA,2100,60.0,305.0,0.0,19.0,5.0,0.0,0.0,24.0
37292,2005,2,2,CO,LAX,CA,1750,227.0,1379.0,0.0,10.0,10.0,0.0,0.0,20.0
37293,2005,2,2,CO,OAK,CA,925,248.0,1628.0,25.0,0.0,0.0,0.0,0.0,25.0
37294,2005,2,3,CO,MFE,TX,920,77.0,316.0,6.0,0.0,9.0,0.0,0.0,15.0
37295,2005,2,4,CO,LAS,NV,950,202.0,1222.0,0.0,43.0,0.0,0.0,0.0,43.0
37296,2005,2,5,CO,DEN,CO,1745,152.0,862.0,31.0,0.0,0.0,0.0,0.0,31.0
37297,2005,2,5,CO,EWR,NJ,1740,209.0,1400.0,0.0,0.0,15.0,0.0,0.0,15.0
37298,2005,2,7,CO,DEN,CO,2053,142.0,862.0,16.0,0.0,7.0,0.0,0.0,23.0
37299,2005,2,7,CO,HDN,CO,1145,169.0,986.0,6.0,0.0,41.0,0.0,0.0,47.0
37300,2005,2,3,CO,SAN,CA,1745,201.0,1303.0,0.0,0.0,25.0,0.0,0.0,25.0
37301,2005,2,4,CO,PHL,PA,1025,200.0,1324.0,0.0,0.0,137.0,0.0,0.0,137.0
37302,2005,2,1,CO,EWR,NJ,1545,208.0,1400.0,0.0,0.0,21.0,0.0,0.0,21.0
37303,2005,2,7,CO,DCA,VA,1310,175.0,1208.0,112.0,0.0,0.0,0.0,0.0,112.0
37304,2005,2,3,CO,SNA,CA,1440,221.0,1347.0,30.0,0.0,0.0,0.0,0.0,30.0
37305,2005,2,5,CO,ATL,GA,1550,117.0,689.0,42.0,0.0,0.0,0.0,0.0,42.0
37306,2005,2,7,CO,MSY,LA,2230,55.0,305.0,64.0,0.0,0.0,0.0,0.0,64.0
37307,2005,2,4,CO,MFE,TX,1140,77.0,316.0,0.0,0.0,9.0,0.0,23.0,32.0
37308,2005,2,4,CO,MSP,MN,1859,161.0,1034.0,17.0,0.0,14.0,0.0,0.0,31.0
37309,2005,2,1,CO,LAS,NV,1435,197.0,1222.0,24.0,0.0,0.0,0.0,0.0,24.0
37310,2005,2,1,CO,SAN,CA,938,201.0,1303.0,0.0,0.0,26.0,0.0,0.0,26.0
37311,2005,2,5,CO,LAS,NV,1755,197.0,1222.0,0.0,0.0,172.0,0.0,0.0,172.0
37312,2005,2,7,CO,FLL,FL,1035,143.0,965.0,0.0,0.0,47.0,0.0,0.0,47.0
37313,2005,2,2,CO,PHX,AZ,920,174.0,1009.0,52.0,0.0,0.0,0.0,0.0,52.0
37314,2005,2,7,CO,AUS,TX,1320,56.0,140.0,13.0,0.0,48.0,0.0,0.0,61.0
37315,2005,2,7,CO,RDU,NC,1310,159.0,1043.0,19.0,0.0,20.0,0.0,0.0,39.0
37316,2005,2,1,CO,ORD,IL,745,150.0,925.0,0.0,0.0,24.0,0.0,0.0,24.0
37317,2005,2,3,CO,JFK,NY,1050,213.0,1417.0,0.0,0.0,78.0,0.0,0.0,78.0
37318,2005,2,5,CO,MCO,FL,2040,125.0,853.0,16.0,0.0,0.0,0.0,0.0,16.0
37319,2005,2,2,CO,TUL,OK,1735,87.0,429.0,0.0,10.0,14.0,0.0,0.0,24.0
37320,2005,2,2,CO,SEA,WA,1750,275.0,1874.0,0.0,7.0,10.0,0.0,0.0,17.0
37321,2005,2,5,CO,HNL,HI,1220,510.0,3904.0,0.0,0.0,33.0,0.0,0.0,33.0
37322,2005,2,3,CO,LGA,NY,1545,201.0,1416.0,0.0,0.0,43.0,0.0,0.0,43.0
37323,2005,2,6,CO,HNL,HI,935,510.0,3904.0,0.0,0.0,24.0,0.0,0.0,24.0
37324,2005,2,1,CO,EWR,NJ,2040,182.0,1400.0,0.0,0.0,53.0,0.0,0.0,53.0
37325,2005,2,6,CO,EWR,NJ,1820,206.0,1400.0,29.0,0.0,0.0,0.0,0.0,29.0
37326,2005,2,3,CO,SNA,CA,1734,210.0,1347.0,7.0,0.0,19.0,0.0,29.0,55.0
37327,2005,2,3,CO,MSY,LA,2100,66.0,305.0,0.0,0.0,18.0,0.0,0.0,18.0
37328,2005,2,7,CO,JAX,FL,1852,123.0,817.0,4.0,0.0,0.0,0.0,47.0,51.0
37329,2005,2,6,CO,SAN,CA,2010,204.0,1303.0,11.0,0.0,6.0,0.0,0.0,17.0
37330,2005,2,6,CO,DEN,CO,1420,140.0,862.0,50.0,0.0,0.0,0.0,0.0,50.0
37331,2005,2,4,CO,PHL,PA,1300,209.0,1324.0,0.0,0.0,287.0,0.0,0.0,287.0
