,YEAR,MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,DEST,DEST_STATE_ABR,CRS_DEP_TIME,CRS_ARR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
51826,2006,2,1,XE,MCI,MO,1030,1225,643.0,0,0,1,1,0
51827,2006,2,1,XE,ABQ,NM,1425,1542,744.0,0,0,1,0,1
51828,2006,2,2,XE,MOB,AL,1420,1545,427.0,0,0,0,0,1
51829,2006,2,1,XE,AMA,TX,1135,1310,519.0,0,0,1,0,0
51830,2006,2,5,XE,SHV,LA,1418,1513,192.0,0,1,1,0,0
51831,2006,2,7,XE,BTR,LA,1730,1830,253.0,1,0,0,0,1
51832,2006,2,5,XE,STL,MO,1755,2000,668.0,1,0,0,0,1
51833,2006,2,3,XE,XNA,AR,1530,1656,438.0,0,0,0,1,0
51834,2006,2,3,XE,GRR,MI,1910,2300,1042.0,0,0,0,1,1
51835,2006,2,5,XE,OKC,OK,1740,1908,395.0,1,0,0,0,0
51836,2006,2,1,XE,DAL,TX,1630,1735,217.0,0,0,1,0,1
51837,2006,2,3,XE,JAN,MS,1335,1454,351.0,0,0,0,1,0
51838,2006,2,3,XE,CRP,TX,1925,2034,201.0,1,0,1,0,0
51839,2006,2,2,XE,DFW,TX,1045,1157,224.0,0,0,1,0,1
51840,2006,2,1,XE,AMA,TX,1740,1919,519.0,1,0,1,0,0
51841,2006,2,1,XE,MFE,TX,1530,1650,316.0,0,0,1,1,0
51842,2006,2,4,XE,BTR,LA,1730,1830,253.0,1,0,0,0,0
51843,2006,2,2,XE,MGM,AL,1900,2045,554.0,0,1,1,0,1
51844,2006,2,3,XE,DAL,TX,730,832,217.0,0,0,1,0,0
51845,2006,2,2,XE,GPT,MS,1430,1550,376.0,0,0,0,0,1
51846,2006,2,5,XE,MSP,MN,1555,1837,1034.0,1,0,1,0,1
51847,2006,2,3,XE,CVG,KY,1550,1915,871.0,1,0,1,0,0
51848,2006,2,6,XE,LIT,AR,1335,1458,374.0,1,0,0,0,1
51849,2006,2,2,XE,ICT,KS,1545,1725,542.0,0,0,1,0,0
51850,2006,2,7,XE,MFE,TX,1530,1650,316.0,1,0,0,0,1
51851,2006,2,3,XE,BHM,AL,1050,1230,562.0,1,0,1,0,0
51852,2006,2,3,XE,OKC,OK,730,854,395.0,0,0,1,0,0
51853,2006,2,7,XE,LIT,AR,1430,1550,374.0,1,0,0,0,0
51854,2006,2,6,XE,LCH,LA,1115,1203,127.0,0,0,1,0,0
51855,2006,2,1,XE,LBB,TX,900,1030,458.0,1,0,1,0,0
51856,2006,2,5,XE,AMA,TX,1135,1310,519.0,0,0,1,0,0
51857,2006,2,7,XE,GRK,TX,1535,1633,166.0,1,0,1,0,0
51858,2006,2,1,XE,JAN,MS,1545,1704,351.0,0,0,1,1,0
51859,2006,2,5,XE,MOB,AL,1905,2035,427.0,1,0,0,0,0
51860,2006,2,2,XE,OKC,OK,1315,1439,395.0,0,0,1,0,0
51861,2006,2,2,XE,MFE,TX,1530,1650,316.0,0,1,1,0,1
